	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
C=	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
T=	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Mean=	91.19354839	87.25806452	89.70967742	87.64516129	91.74193548	86.74193548	89.25806452	85.58064516	87.83870968	86.93548387	90.19354839	86.41935484	89.16129032	86.64516129	91.25806452	91.93548387	94.09677419	84.70967742	86.61290323	90.06451613
standard deviation=	8.55	9.32	6.41	9.72	9.52	8.22	9.43	7.02	6.66	7.73	9.79	9.03	8.73	9.01	7.45	9.93	9.25	7.73	6.59	8.71
	1-Sep	25-Sep	21-Aug	17-Jul	31-Jul	4-Sep	1-Sep	18-Sep	13-Aug	7-Oct	9-Sep	21-Sep	25-Aug	2-Sep	28-Sep	6-Sep	12-Aug	17-Aug	26-Sep	6-Jul
																				
																				
Day	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St
2-Oct	252	116	95	127	333	109	128	103	183	5	202	27	149	129	73	249	378	55	54	240
3-Oct	256	125	105	128	340	111	130	119	187	5	208	33	155	137	93	263	395	54	59	261
4-Oct	274	131	109	141	348	115	135	125	191	4	211	37	158	146	114	272	404	51	78	278
5-Oct	296	135	114	153	354	120	134	129	196	7	212	39	162	168	133	278	413	49	91	292
6-Oct	320	137	128	167	370	134	134	137	206	19	223	41	166	180	148	286	421	46	96	303
7-Oct	349	139	133	178	393	149	140	147	216	31	238	41	170	185	155	296	444	54	98	309
8-Oct	359	141	150	190	427	154	156	156	228	42	254	41	184	189	161	307	472	64	95	314
9-Oct	377	146	165	202	460	172	176	166	242	56	262	44	195	187	165	324	493	69	93	320
10-Oct	393	148	179	215	485	183	192	175	255	63	269	46	204	197	167	345	512	71	91	336
11-Oct	412	150	187	227	503	191	200	192	263	65	276	63	212	204	169	369	528	74	88	350
12-Oct	431	155	196	241	519	197	203	196	275	75	292	74	222	221	177	384	540	75	87	361
13-Oct	447	160	205	262	532	203	210	201	296	82	318	84	231	232	186	399	556	74	85	367
14-Oct	456	176	217	272	546	212	228	206	318	88	336	89	237	250	201	411	570	79	94	376
15-Oct	463	197	224	283	558	220	258	219	341	93	353	94	242	272	211	420	584	93	109	382
16-Oct	471	224	233	291	567	242	278	230	354	101	381	102	245	295	223	425	601	100	122	392
17-Oct	477	243	243	296	575	266	300	244	364	110	397	103	262	328	232	429	617	110	126	409
18-Oct	500	263	251	309	584	286	318	257	376	113	407	110	282	356	242	438	634	119	134	431
19-Oct	525	278	256	328	600	298	334	265	393	113	419	117	303	379	248	460	652	138	144	454
20-Oct	545	292	268	353	616	307	347	269	407	114	437	126	323	394	259	490	673	149	155	470
21-Oct	554	307	282	373	629	312	362	268	419	118	455	131	337	407	268	516	688	159	161	481
22-Oct	561	329	305	385	639	316	384	272	430	135	472	142	355	417	278	537	700	172	175	489
23-Oct	581	350	329	413	653	318	412	277	445	149	506	145	379	428	290	556	713	190	187	495
24-Oct	596	373	344	438	667	323	430	286	457	177	538	169	412	443	297	572	725	206	196	506
25-Oct	611	382	355	459	677	334	456	296	464	207	570	192	431	462	310	585	736	232	203	522
26-Oct	624	395	363	474	691	354	474	311	470	230	595	207	447	480	313	597	747	253	202	542
27-Oct	637	422	371	484	702	386	492	329	474	251	616	223	474	504	325	607	768	265	202	573
28-Oct	645	452	378	496	711	415	503	355	480	273	640	237	510	517	340	621	803	283	209	582
29-Oct	651	472	387	508	724	436	514	367	490	293	656	258	537	525	360	651	838	290	219	599
30-Oct	657	490	392	518	736	447	532	373	497	308	670	275	559	543	377	679	874	293	235	616
31-Oct	664	514	400	528	747	460	559	381	500	322	689	287	578	558	390	703	900	301	256	641
